reaction_id,equation,delta_G0_prime_kJ_per_mol,status
GMHEPAT,C00002 + C07838 + C00080 = C06397 + C00013,-12.531100126030125,ok
EX_h2s_e,h2s_e --> ,,skipped (unmapped)
ADPT,C00147 + C00119 = C00020 + C00013,-19.321985193139582,ok
EX_gthrd_e,gthrd_e --> ,,skipped (unmapped)
IDOND,C01062 + C00080 + C00004 = C00770 + C00003,-18.668655803898446,ok
IDOND2,C01062 + C00080 + C00005 = C00770 + C00006,-18.53810076989771,ok
FADRx,C00016 + C00080 + C00004 = C01352 + C00003,-21.41035297778899,ok
GTPDPK,C00002 + C00044 = C00020 + C04494 + C00080,-8.693761358199083,ok
NADN,C00001 + C00003 = C00301 + C00080 + C00153,-33.25464679260077,ok
GLYCLTDx,C00048 + C00080 + C00004 = C00160 + C00003,-44.16801147978174,ok
ADK1,C00020 + C00002 = 2 C00008,-0.1945347625858176,ok
NDPK2,C00002 + C00015 = C00008 + C00075,0.20524471245244058,ok
NDPK3,C00002 + C00112 = C00008 + C00063,0.26380917914195834,ok
HPYRRy,C00080 + C00168 + C00005 = C00258 + C00006,-31.09981701204015,ok
NDPK4,C00002 + C00363 = C00008 + C00459,0.07684885522667173,ok
ACODA,C00437 + C00001 = C00033 + C00077,-6.843543063083928,ok
ADA,C00212 + C00001 + C00080 = C00294 + C00014,-23.064956386640404,ok
DADA,C00559 + C00001 + C00080 = C05512 + C00014,-21.859783503221877,ok
ADD,C00147 + C00001 + C00080 = C00262 + C00014,-22.64101546891483,ok
FCLT,C14818 + C02191 = 2 C00080 + C00032,,skipped (unbalanced)
HBZOPT,C00156 + C04146 = C05809 + C00013,-81.21301663963702,ok
PNTK,C00002 + C00864 = C03492 + C00008 + C00080,-9.380277296528334,ok
ADSS,C00049 + C00044 + C00130 = C03794 + C00035 + 2 C00080 + C00009,4.718934353180941,ok
AGDC,C00357 + C00001 = C00033 + C00352,-7.922608903785886,ok
OCTDPS,C00448 + 5 C00129 = C04146 + 5 C00013,-389.8672079845452,ok
ASNN,C00152 + C00001 = C00049 + C00014,-17.400434311436527,ok
DPCOAK,C00002 + C00882 = C00008 + C00010 + C00080,5.346617193919883,ok
HETZK,C04294 + C00002 = C04327 + C00008 + C00080,-15.988318002055053,ok
ASNS2,C00049 + C00002 + C00014 = C00020 + C00152 + C00080 + C00013,-20.1180911515181,ok
ASPCT,C00049 + C00169 = C00438 + C00080 + C00009,-22.20785954442713,ok
KDOPS,C01112 + C00001 + C00074 = C04478 + C00009,-70.24369340804816,ok
KDOPP,C00001 + C04478 = CHEBI:43577 + C00009,-8.32239302313787,ok
DMPPS,C11811 + C00080 + C00004 = C00235 + C00001 + C00003,-65.4302692288162,ok
EX_26dap__M_e,26dap__M_e --> ,,skipped (unmapped)
MCOATA,C00229 + C00083 = C00010 + C01209,,skipped (unbalanced)
IPDPS,C11811 + C00080 + C00004 = C00001 + C00129 + C00003,-60.5760539450921,ok
AST,C00062 + C00091 = C00010 + C00080 + C03296,-5.819459591144891,ok
SGDS,C00001 + C05931 = C00025 + C00042,-2.216409812455595,ok
CYNTAH,C01417 + 3 C00080 + C00288 = 2 C00011 + C00014,-45.74890295119917,ok
DAPE,C00666 = C00680,-1.6534433021091672,ok
DHDPRy,C03340 + C00080 + C00005 = C00006 + C03972,-24.01703269467413,ok
EX_acnam_e,acnam_e --> ,,skipped (unmapped)
HSK,C00002 + C00263 = C00008 + C00080 + C01102,-37.09022666987454,ok
SDPTA,C00026 + C04421 = C00025 + C04462,-0.9738910181424103,ok
GSPMDA,C05730 + C00001 = C00051 + C00315,-2.8568870018675483,ok
GSPMDS,C00002 + C00051 + C00315 = C00008 + C05730 + C00080 + C00009,-24.50831174603622,ok
GUAD,C00242 + C00001 + C00080 = C00014 + C00385,267.72466074092665,ok
THRS,C00001 + C01102 = C00009 + C00188,-29.384805992952977,ok
EX_amp_e,amp_e --> ,,skipped (unmapped)
HSST,C00263 + C00091 = C00010 + C01118,-29.95680070207777,ok
PPNDH,C00080 + C00254 = C00011 + C00001 + C00166,-67.57946075741344,ok
TMAOR1,C00080 + CHEBI:61684 + C01104 = C00001 + CHEBI:44027 + C00565,-218.3934300464499,ok
TMAOR2,CHEBI:61873 + C00080 + C01104 = CHEBI:48455 + C00001 + C00565,-195.98053797496456,ok
DGK1,C00002 + C00362 = C00008 + C00361,4.606617553496903,ok
DTMPK,C00002 + C00364 = C00008 + C00363,-1.4565032129346491,ok
NDPK1,C00002 + C00035 = C00008 + C00044,-2.8030570430317994,ok
TRDR,C00080 + C00005 + C00343 = C00006 + C00342,-11.059544302651375,ok
DDPA,C00279 + C00001 + C00074 = C04691 + C00009,-74.59053104423589,ok
NMNDA,C00001 + C00455 = C00014 + C01185,2.661524415830911,ok
NNAM,C00001 + C00153 = C00253 + C00014,-5.510423392524331,ok
P5CD,C03912 + 2 C00001 + C00003 = C00025 + C00080 + C00004,-40.25943521831982,ok
PGMT,C00103 = C00092,-7.371343627429724,ok
FRUK,C00002 + C01094 = C00008 + C00354 + C00080,-15.525472430625598,ok
SPMDAT1,C00024 + C00315 = C00612 + C00010 + C00080,-19.96865485119656,ok
RHCCE,C03539 = C11838 + C00155,-15.594908618581883,ok
EX_dha_e,dha_e --> ,,skipped (unmapped)
KG6PDC,C14899 + C00080 = C00011 + C03291,-9.808813008231994,ok
SPMDAT2,C00024 + C00315 = C00010 + C00080 + C01029,-19.947755795824122,ok
TDPADGAT,C00024 + C04346 = C00010 + C20415 + C00080,-26.315259637997315,ok
MALS,C00024 + C00048 + C00001 = C00010 + C00080 + C00149,-35.81133374320143,ok
X5PL3E,C03291 = C01101,2.1551322832556252,ok
DOGULNR,C04575 + C00080 + C00004 = C00618 + C00003,-18.66878210444986,ok
TRE6PP,C00001 + C00689 = C00009 + C01083,-7.5332353062127595,ok
EX_fuc__L_e,fuc__L_e --> ,,skipped (unmapped)
EX_met__D_e,met__D_e --> ,,skipped (unmapped)
EX_tartr__L_e,tartr__L_e --> ,,skipped (unmapped)
BETALDHx,C00576 + C00001 + C00003 = C00719 + 2 C00080 + C00004,-36.53436258753027,ok
BETALDHy,C00576 + C00001 + C00006 = C00719 + 2 C00080 + C00005,-36.66491762153123,ok
MLTG3,C00001 + CHEBI:61952 = C00031 + C02013,-12.932575813996891,ok
EX_taur_e,taur_e --> ,,skipped (unmapped)
EX_maltpt_e,maltpt_e --> ,,skipped (unmapped)
EX_glyald_e,glyald_e --> ,,skipped (unmapped)
EX_glcur_e,glcur_e --> ,,skipped (unmapped)
ADPRDP,C00301 + C00001 = C00020 + 2 C00080 + C03736,-24.99008684106775,ok
DKGLCNR1,C02780 + C00080 + C00005 = cpd15351 + C00006,,skipped (unbalanced)
NADTRHD,C00003 + C00005 = C00004 + C00006,0.13055503400096313,ok
AACPS2,C00229 + C00002 + MNXM641 = C00020 + C00013 + MNXM162426,,skipped (unbalanced)
FMNRx2,C00061 + C00080 + C00005 = C01847 + C00006,-27.266135532905423,ok
ACPS1,cpd12370 + C00010 = C00229 + C00080 + C00054,,skipped (unbalanced)
EX_nmn_e,nmn_e --> ,,skipped (unmapped)
EX_urea_e,urea_e --> ,,skipped (unmapped)
ARAI,C11476 = C00508,,error (ambiguous ID)
M1PD,C00644 + C00003 = C05345 + C00080 + C00004,14.477652012133603,ok
G3PD2,C00093 + C00006 = C00111 + C00080 + C00005,25.615794329485198,ok
GALS3,C00001 + CHEBI:61827 = C00124 + C00031,1.6974066878190115,ok
FCI,CHEBI:48204 = C01721,5.458899398181018,ok
FCLK,C00002 + C01721 = C00008 + C01099 + C00080,-17.85781164355052,ok
FCLPA,C01099 = C00111 + C00424,19.757140787428767,ok
GMPS2,C00002 + C00064 + C00001 + C00655 = C00020 + C00025 + C00144 + 2 C00080 + C00013,-323.9789439743433,ok
AMPN,C00020 + C00001 = C00147 + C03736,-20.218419285867753,ok
GSNK,C00002 + C00387 = C00008 + C00144 + C00080,-19.478026289854142,ok
ACCOAL,C00002 + C00010 + MNXM162260 = C00008 + C00009 + C00100,,skipped (unbalanced)
GALUi,C00103 + C00080 + C00075 = C00013 + C00029,-1.639722341872698,ok
AACPS3,C00229 + C00002 + C00249 = C00020 + MNXM2026 + C00013,,skipped (unbalanced)
U23GAAT,C04688 + C06022 = C00229 + C00080 + C04652,,skipped (unbalanced)
EX_f6p_e,f6p_e --> ,,skipped (unmapped)
UAAGDS,C00680 + C00002 + C00692 = C00008 + C00080 + C00009 + CHEBI:13460,-24.802349178813984,ok
AACPS4,C00229 + C00002 + MNXM950 = C00020 + MNXM89949 + C00013,,skipped (unbalanced)
UAMAS,C00041 + C00002 + C01050 = C00008 + C00080 + C00009 + C01212,-28.233837366496346,ok
UAMAGS,C00002 + C00217 + C01212 = C00008 + C00080 + C00009 + C00692,-30.540866982682928,ok
UGLYCH,C00001 + 2 C00080 + C00603 = C00011 + C00048 + 2 C00014,-24.06794024041551,ok
NTPP3,C00458 + C00001 = C00239 + C00080 + C00013,-42.814104170255504,ok
NTPP6,C00002 + C00001 = C00020 + C00080 + C00013,-37.51852546295531,ok
NTPP7,C00459 + C00001 = C00364 + C00080 + C00013,-36.333405867833264,ok
OP4ENH,C00001 + CHEBI:11641 = C03589,0.43163666246510957,ok
EX_rmn_e,rmn_e --> ,,skipped (unmapped)
HOPNTAL,C03589 = C00084 + C00022,11.719881473115365,ok
NTPP8,C00001 + C00075 = C00080 + C00013 + C00105,-36.745339086957244,ok
P5CR,C03912 + 2 C00080 + C00005 = C00006 + C00148,-50.160326873505085,ok
CYANST,C00177 + C00320 = C00080 + C00094 + C01755,,skipped (unbalanced)
EX_ttdca_e,ttdca_e --> ,,skipped (unmapped)
DHPPDA2,C01304 + C00001 + C00080 = C01268 + C00014,275.4949561331414,ok
3HPPPNH,C11457 + C00080 + C00004 + C00007 = C04044 + C00001 + C00003,-442.76830688387656,ok
G5SADs,C01165 = C03912 + C00001 + C00080,-4.742340531570008,ok
GMAND,C00096 = C01222 + C00001,-55.40740122937113,ok
PPCSCT,C00100 + C00042 = MNXM162260 + C00091,,skipped (unbalanced)
CYTD,C00475 + C00001 + C00080 = C00014 + C00299,-15.401278485553917,ok
AKGDH,C00026 + C00010 + C00003 = C00011 + C00004 + C00091,-28.000676037568837,ok
HPYRRx,C00080 + C00168 + C00004 = C00258 + C00003,-31.23037204604134,ok
GLYCDx,C00116 + C00003 = C00184 + C00080 + C00004,23.932820729016612,ok
ASP1DC,C00049 + C00080 = C00099 + C00011,-19.787410219752132,ok
UGMDDS,C00993 + C00002 + CHEBI:13460 = C00008 + C00080 + C00009 + C04882,-30.647925282490633,ok
DCYTD,C00881 + C00001 + C00080 = C00526 + C00014,-21.75023603226117,ok
DBTS,C00002 + C00011 + C01037 = C00008 + C01909 + 3 C00080 + C00009,11.80972072202502,ok
DCTPD,C00458 + C00001 + C00080 = C00460 + C00014,-29.915116760071726,ok
UHGADA,C00001 + C04738 = C00033 + C06022,-6.0905719956390385,ok
AMANK,C00645 + C00002 = C04257 + C00008 + C00080,-11.216020113821855,ok
UAGAAT,C04688 + C00043 = C00229 + C04738,,skipped (unbalanced)
ATPPRT,C00002 + C00119 = C00013 + C02739,-49.426819188985064,ok
HISTD,C00001 + C00860 + 2 C00003 = 3 C00080 + C00135 + 2 C00004,-10.118568537708143,ok
DHDPS,C00441 + C00022 = C03340 + 2 C00001 + C00080,-125.45434648087823,ok
G1PACT,C00024 + C06156 = C04256 + C00010 + C00080,-22.20492715939463,ok
GART,C00002 + C00058 + C03838 = C00008 + C04376 + C00080 + C00009,-1.273863484634667,ok
CSND,C00380 + C00001 + C00080 = C00014 + C00106,-31.83070987525278,ok
GF6PTA,C05345 + C00064 = C00352 + C00025,-19.241817792266772,ok
IGPDH,C04666 = C00001 + C01267,-41.22969989354618,ok
EX_glyclt_e,glyclt_e --> ,,skipped (unmapped)
PRPPS,C00002 + C03736 = C00020 + C00080 + C00119,2.021879016052196,ok
H2SO,C00283 + 2 C00007 = 2 C00080 + C00059,-832.4499019390234,ok
GLUCYS,C00002 + C00097 + C00025 = C00008 + C00669 + C00080 + C00009,-33.02741920718149,ok
PRATPP,C00001 + C02739 = C00080 + C00013 + C02741,-84.50278101800723,ok
GLUN,C00064 + C00001 = C00025 + C00014,-14.248507159941312,ok
PRMICI,C04896 = C04916,-9.766984019959295,ok
GLUPRT,C00064 + C00001 + C00119 = C00025 + C00013 + C03090,-60.44097730183955,ok
EX_g6p_e,g6p_e --> ,,skipped (unmapped)
GMPR,C00144 + 2 C00080 + C00005 = C00130 + C00006 + C00014,252.81579291979483,ok
SERAT,C00024 + C00065 = C00979 + C00010,-6.282000053649881,ok
CYSS,C00979 + C00283 = C00033 + C00097 + C00080,-51.43149393424392,ok
NADS1,C00002 + C00857 + C00014 = C00020 + C00080 + C00003 + C00013,-18.237790796387955,ok
BPNT,C00001 + C00054 = C00020 + C00009,-8.047853107456895,ok
EX_2ddglcn_e,2ddglcn_e --> ,,skipped (unmapped)
PAPSR,C00053 + C00342 = 2 C00080 + C00054 + C00094 + C00343,-37.354846858323654,ok
ASPK,C00049 + C00002 = C03082 + C00008,22.274273316339645,ok
ASAD,C00441 + C00006 + C00009 = C03082 + C00080 + C00005,-20.34505342193893,ok
DAPDC,C00680 + C00080 = C00011 + C00047,-18.38608766512357,ok
EX_mmet_e,mmet_e --> ,,skipped (unmapped)
NTRIR2x,5 C00080 + 3 C00004 + C00088 = 2 C00001 + 3 C00003 + C00014,-390.65112588989496,ok
OCBT,C00169 + C00077 = C00327 + C00080 + C00009,-29.95216099627732,ok
GARFT,C00234 + C03838 = C04376 + C00080 + C00101,1.4010906732868307,ok
GPDDA1,C00670 + C00001 = C00114 + C00093 + C00080,-254.52977065460317,ok
GPDDA2,C01233 + C00001 = C00189 + C00093 + C00080,-246.5784530432088,ok
PHETA1,C00026 + C00079 = C00025 + C00166,-0.05834817913620327,ok
PPND,C00003 + C00254 = C01179 + C00011 + C00004,-10.526111731076753,ok
METAT,C00002 + C00001 + C00073 = C00019 + C00009 + C00013,-88.12680450327524,ok
ASCBPL,C16186 + C00001 = C14899 + C00080,-4.790436738558753,ok
ACBIPGT,C06509 + C00044 + C00080 = C06510 + C00013,38.40176560295511,ok
TRPS1,C03506 + C00065 = C00118 + C00001 + C00078,-31.53691315412476,ok
PRAMPC,C00001 + C02741 = C04896,-0.0381168571851731,ok
ADOCBLS,C06510 + C05775 = C00194 + C00144 + C00080,-86.94433381337922,ok
EX_galct__D_e,galct__D_e --> ,,skipped (unmapped)
ADOCBIK,C06508 + C00002 = C06509 + C00008 + C00080,-25.252707974757186,ok
TMPK,C00002 + C01081 = C00008 + C00068,-47.067349530672914,ok
HPPPNDO,C04044 + C00007 = C00080 + C04479,-260.91559598816576,ok
MCITL2,C04593 = C00022 + C00042,5.9269387791613894,ok
DXYLK,C00002 + C06257 = C00008 + C11437 + C00080,-12.144232465939353,ok
MDH3,C00149 + CHEBI:44027 = CHEBI:61684 + C00036,2.6938785659033613,ok
SOTA,C00026 + C03415 = C00025 + C05932,-0.6782030863114414,ok
DHCINDO,C12623 + C00007 = C00080 + C12624,-260.91897610096623,ok
SGSAD,C00001 + C00003 + C05932 = 2 C00080 + C00004 + C05931,-41.37657363302793,ok
HKNDDH,C00001 + C04479 = C00080 + CHEBI:11641 + C00042,-52.76028149184614,ok
EX_idon__L_e,idon__L_e --> ,,skipped (unmapped)
HKNTDH,C00001 + C12624 = C00122 + C00080 + CHEBI:11641,-50.795247998690485,ok
GLYCK2,C00002 + C00258 = C00631 + C00008 + C00080,-8.325309276736334,ok
PTA2,C00009 + C00100 = C00010 + C02876,20.869260045506167,ok
MDH2,C00149 + C17569 = C00036 + CHEBI:61682,-105.24369878471202,ok
EX_indole_e,indole_e --> ,,skipped (unmapped)
ACOTA,C00437 + C00026 = C01250 + C00025,-2.962823242559068,ok
GPDDA5,C01225 + C00001 = C00093 + C00080 + C00137,-263.70780701449877,ok
PDX5PS,C11437 + C00003 + C06055 = C00011 + 2 C00001 + C00080 + C00004 + C00627 + C00009,-220.8317306250501,ok
PPBNGS,2 C00430 = 2 C00001 + C00080 + C00931,-102.2712476400306,ok
ENTCS,3 C04030 + 3 C05820 = 6 C00020 + C05821 + 9 C00080,-7044.003169957139,ok
SULR,5 C00080 + 3 C00005 + C00094 = 3 C00001 + C00283 + 3 C00006,-120.62332283588967,ok
MANPGH,C00001 + C16699 = C00258 + C00275,-9.415168456024901,ok
URDGLYCD,C00003 + C00603 = C00080 + C00004 + C00802,-6.245217800866598,ok
CBMKr,C00002 + C00011 + C00014 = C00008 + C00169 + 2 C00080,28.49883279750678,ok
PPNCL2,C03492 + C00063 + C00097 = C04352 + C00055 + C00080 + C00013,-51.77234784970874,ok
PRAGSr,C00002 + C00037 + C03090 = C00008 + C03838 + C00080 + C00009,-26.115425025465647,ok
PRFGS,C00002 + C04376 + C00064 + C00001 = C00008 + CHEBI:11474 + C00025 + C00080 + C00009,30.948041069672392,ok
AMANAPEr,C04257 = C00357,-2.0656945284406447,ok
EX_3hcinnm_e,3hcinnm_e --> ,,skipped (unmapped)
ACM6PH,C16698 + C00001 = C00357 + C00256,-3.1626158567849814,ok
NNATr,C00002 + C00080 + C01185 = C00857 + C00013,-24.891062220280034,ok
CYTDH,C00475 + C00001 = C00380 + C00121,1.9363598844794296,ok
EX_acac_e,acac_e --> ,,skipped (unmapped)
ETHAAL,C00189 = C00084 + C00014,-35.88501940922683,ok
MAN1PT2,C00035 + C00080 + C00636 = C00096 + C00009,-0.845537102744693,ok
PSERT,C03232 + C00025 = C00026 + C01005,-10.896722053798072,ok
AP4AH,C01260 + C00001 = 2 C00008 + 2 C00080,-38.797032480147436,ok
EX_acmana_e,acmana_e --> ,,skipped (unmapped)
AP5AH,C04058 + C00001 = C00008 + C00002 + 2 C00080,-3.3180956627907108,ok
ADNCYC,C00002 = C00575 + C00013,3.3499745666719747,ok
AIRC2,CHEBI:12101 + C00002 + C00288 = C15667 + C00008 + C00080 + C00009,-52.47923249199249,ok
GAPD,C00118 + C00003 + C00009 = C00236 + C00080 + C00004,4.6027114926585,ok
MI1PP,C00001 + C01177 = C00137 + C00009,-23.114425877892593,ok
EX_galur_e,galur_e --> ,,skipped (unmapped)
MCITS,C00001 + C00036 + C00100 = C02225 + C00010 + C00080,-37.55572519290763,ok
PPAKr,C00008 + C02876 = C00002 + MNXM162260,,skipped (unbalanced)
HEX1,C00002 + C00031 = C00008 + C00092 + C00080,-17.90103501265247,ok
GND,C00345 + C00006 = C00011 + C00005 + C00199,10.331992091051575,ok
TAUDO,C00026 + C00007 + C00245 = C06735 + C00011 + C00080 + C00094 + C00042,-180.4528279176432,ok
DM_amob_c,amob_c --> ,,skipped (unmapped)
NTP3,C00044 + C00001 = C00035 + C00080 + C00009,-24.56214170487312,ok
PPM2,C00672 = C00673,-26.76622543275772,ok
MOAT2,C04121 + C06024 = C00055 + C00080 + C06025,-251.94908839591244,ok
EX_adn_e,adn_e --> ,,skipped (unmapped)
EX_ins_e,ins_e --> ,,skipped (unmapped)
G6PDH2r,C00092 + C00006 = C01236 + C00080 + C00005,-3.923160145715201,ok
ME2,C00149 + C00006 = C00011 + C00005 + C00022,12.177303883746404,ok
ARGSL,C03406 = C00062 + C00122,11.475639301630622,ok
CBPS,2 C00002 + C00064 + C00001 + C00288 = 2 C00008 + C00169 + C00025 + 2 C00080 + C00009,-7.927638109529539,ok
GLU5K,C00002 + C00025 = C00008 + C03287,28.53671708738017,ok
IPPS,C00141 + C00024 + C00001 = C02504 + C00010 + C00080,-23.652989693608106,ok
EX_mg2_e,mg2_e <=> ,,skipped (unmapped)
ACOATA,C00229 + C00024 = C03939 + C00010,,skipped (unbalanced)
NADH5,C00080 + C00004 + C17569 = C00003 + CHEBI:61682,-134.80190995013726,ok
MOHMT,C00141 + C00001 + C00143 = C00966 + C00101,6.278916764953124,ok
EX_glyc3p_e,glyc3p_e --> ,,skipped (unmapped)
MLTG2,C00001 + C02013 = C00031 + C01835,-12.93256978196473,ok
EX_but_e,but_e --> ,,skipped (unmapped)
MLTG1,C00001 + C01835 = C00031 + C00208,-13.284115232937665,ok
AMALT3,C00208 + CHEBI:61952 = C00031 + C01936,0.35328297513615325,ok
MLTP3,CHEBI:62010 + C00009 = C00103 + C01936,3.902932340438838,ok
EX_lcts_e,lcts_e --> ,,skipped (unmapped)
EX_ocdca_e,ocdca_e --> ,,skipped (unmapped)
EX_cbl1_e,cbl1_e --> ,,skipped (unmapped)
SPODM,2 C00080 + 2 C00704 = C00027 + C00007,83.26788519096836,ok
AHCYSNS,C00021 + C00001 = C00147 + C03539,-16.349083157033647,ok
ACNML,C00270 = C00645 + C00022,7.642533380875321,ok
TMK,C00002 + CHEBI:33283 = C00008 + C00080 + C01081,43.17302793698491,ok
NTPP4,C00063 + C00001 = C00055 + C00080 + C00013,-39.28476955588398,ok
GMPS,C00002 + C00014 + C00655 = C00020 + C00144 + 2 C00080 + C00013,-309.7304368144011,ok
CAT,2 C00027 = 2 C00001 + C00007,-191.89617515212367,ok
FTHFLi,C00002 + C00058 + C00101 = C00234 + C00008 + C00009,-2.6749541579208156,ok
EX_nac_e,nac_e --> ,,skipped (unmapped)
UDPGD,C00001 + 2 C00003 + C00029 = 3 C00080 + 2 C00004 + C00167,-19.251589803373918,ok
SERASr,C00002 + C00080 + C00065 = C00013 + C05820,1164.6246488558606,ok
GLCRD,C00818 = C00679 + C00001,-41.014142844129296,ok
PPPNDO,C00080 + C00004 + C00007 + C05629 = CHEBI:48690 + C00003,-370.033301305486,ok
26DAHtex,26dap__M_e <=> 26dap__M_p,,skipped (unmapped)
HCINNMtex,3hcinnm_e <=> 3hcinnm_p,,skipped (unmapped)
HPPPNtex,3hpppn_e <=> 3hpppn_p,,skipped (unmapped)
ACtex,ac_e <=> ac_p,,skipped (unmapped)
ACALDtex,acald_e <=> acald_p,,skipped (unmapped)
CHRPL,C00251 = C00156 + C00022,-112.9032556094731,ok
TDPAGTA,C11907 + C00025 = C00026 + C04346,17.044137019010122,ok
UACMAMO,C00001 + 2 C00003 + C01170 = 3 C00080 + 2 C00004 + C06240,-21.872094182686624,ok
FBA3,C00447 = C00111 + C00279,20.836227629645748,ok
PMPK,CHEBI:44219 + C00002 = C04752 + C00008,8.206342177235001,ok
LCADi,C00001 + C00424 + C00003 = 2 C00080 + C00186 + C00004,-46.43756351708589,ok
ACMANAtex,acmana_e <=> acmana_p,,skipped (unmapped)
ACMUMtex,acmum_e --> acmum_p,,skipped (unmapped)
ACACT7r,C00024 + C02593 = C05259 + C00010,30.17018929308915,ok
PSP_L,C00001 + C01005 = C00009 + C00065,-10.57782815834355,ok
ADK3,C00020 + C00044 = C00008 + C00035,2.6085222804454133,ok
GLUDC,C00025 + C00080 = C00334 + C00011,-23.63751256303493,ok
ACACT2r,C00024 + C00136 = C05269 + C00010,30.42955434085343,ok
BSORy,C20386 + C00080 + C00005 = C00120 + C00001 + C00006,46.49972770939769,ok
DMSOR2,CHEBI:61873 + C11143 = CHEBI:48455 + C00580 + C00001,-201.76963797495006,ok
ADSK,C00224 + C00002 = C00008 + C00080 + C00053,-14.844027764267992,ok
ACACT3r,C00024 + MNXM162502 = C05267 + C00010,,skipped (unbalanced)
ACACT4r,C00024 + C01944 = C05265 + C00010,30.170189293089607,ok
SUCCt2_2pp, = 0 C00080 + 0 C00042,0.0,ok
SUCFUMtpp, = 0 C00122 + 0 C00042,0.0,ok
HSDy,C00263 + C00006 = C00441 + C00080 + C00005,22.390116860941134,ok
CYSTL,C02291 + C00001 = C00155 + C00014 + C00022,0.5382891566925565,ok
ACMAMUT,C06240 + C01289 = C00080 + C00015 + C20497,-12.933214318360115,ok
SHSL1,C00097 + C01118 = C02291 + C00080 + C00042,-61.73135270703153,ok
SSALy,C00001 + C00006 + C00232 = 2 C00080 + C00005 + C00042,-36.67219761115689,ok
SUCptspp,C00074 + C00089 = C00022 + C02591,-37.09581515751415,ok
SULabcpp,C00002 + C00001 = 0 C00059 + C00008 + C00080 + C00009,-27.36519874790435,ok
TSULabcpp,C00002 + C00001 = 0 C00320 + C00008 + C00080 + C00009,-27.36519874790435,ok
TARTRt7pp, = 0 C00042 + 0 C00898,0.0,ok
EX_dad_2_e,dad_2_e --> ,,skipped (unmapped)
EX_ser__D_e,ser__D_e --> ,,skipped (unmapped)
DDGALK,C01216 + C00002 = C01286 + C00008 + C00080,-11.288639321840265,ok
EX_gam6p_e,gam6p_e --> ,,skipped (unmapped)
EX_15dap_e,15dap_e --> ,,skipped (unmapped)
AB6PGH,C06187 + C00001 = C00092 + C00530,19.84934428796376,ok
EX_ocdcea_e,ocdcea_e --> ,,skipped (unmapped)
EX_cynt_e,cynt_e --> ,,skipped (unmapped)
EX_galctn__D_e,galctn__D_e --> ,,skipped (unmapped)
AMALT1,C00208 + C01835 = C00031 + C02013,-1.2979993236870087,ok
EX_glyb_e,glyb_e --> ,,skipped (unmapped)
AHGDx,C03196 + C00003 = C00026 + C00080 + C00004,31.248853555209507,ok
MLTP2,C01936 + C00009 = C00103 + CHEBI:61952,2.2516552818933633,ok
TAURabcpp,C00002 + C00001 = 0 C00245 + C00008 + C00080 + C00009,-27.36519874790435,ok
THMDt2pp_copy1, = 0 C00080 + 0 C00214,0.0,ok
3HCINNMH,C12621 + C00080 + C00004 + C00007 = C12623 + C00001 + C00003,-442.76256003289006,ok
BSORx,C20386 + C00080 + C00004 = C00120 + C00001 + C00003,42.79290993521897,ok
PACCOAL,C00002 + C00010 + C00548 = C00020 + C00582 + C00013,-11.20077954114656,ok
NMNt7pp,C00001 + C00455 = C00080 + C00153 + C03736,-23.675011308594662,ok
EX_ca2_e,ca2_e <=> ,,skipped (unmapped)
EX_so3_e,so3_e --> ,,skipped (unmapped)
GLUtex,glu__L_e <=> glu__L_p,,skipped (unmapped)
Kt2pp, = 0 C00080 + 0 C00238,0.0,ok
GLYtex,gly_e <=> gly_p,,skipped (unmapped)
GP4GH,C01261 + C00001 = 2 C00035 + 2 C00080,-44.031217276723964,ok
GLYALDtex,glyald_e <=> glyald_p,,skipped (unmapped)
AKGt2rpp, = 0 C00026 + 0 C00080,0.0,ok
ACGAMT,C00043 + C00348 = C00105 + C01289,5.522893735980233,ok
XYLt2pp, = 0 C00080 + 0 C00181,0.0,ok
EX_ascb__L_e,ascb__L_e --> ,,skipped (unmapped)
GLYBtex,glyb_e <=> glyb_p,,skipped (unmapped)
GLYCtex,glyc_e <=> glyc_p,,skipped (unmapped)
GLYC3Ptex,glyc3p_e <=> glyc3p_p,,skipped (unmapped)
GLYCLTtex,glyclt_e <=> glyclt_p,,skipped (unmapped)
GTPtex,gtp_e <=> gtp_p,,skipped (unmapped)
GUAtex,gua_e <=> gua_p,,skipped (unmapped)
Htex,h_e <=> h_p,,skipped (unmapped)
EX_ala_B_e,ala_B_e --> ,,skipped (unmapped)
EX_agm_e,agm_e --> ,,skipped (unmapped)
EX_minohp_e,minohp_e --> ,,skipped (unmapped)
EX_ppt_e,ppt_e --> ,,skipped (unmapped)
EX_hxa_e,hxa_e --> ,,skipped (unmapped)
H2tex,h2_e <=> h2_p,,skipped (unmapped)
H2Otex,h2o_e <=> h2o_p,,skipped (unmapped)
AADDGT,C20415 + C20497 = C00363 + C00080 + cpd15582,-17.7552025400214,ok
FACOAL160t2pp,C00002 + C00010 + C00249 = 0 C00080 + C00020 + C00154 + C00013,-10.725090692907699,ok
FACOAL180t2pp,C00002 + C00010 + C01530 = 0 C00080 + C00020 + C00013 + C00412,-10.496946573605328,ok
SPODMpp,2 C00080 + 2 C00704 = C00027 + C00007,83.26788519096836,ok
EX_lyx__L_e,lyx__L_e --> ,,skipped (unmapped)
EX_acmum_e,acmum_e --> ,,skipped (unmapped)
